timestamp,datetime,sensor_id,location,quality_score,processing_time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,hour,day_of_week,month,day_of_year,week_of_year,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,season,is_weekend,is_rush_hour_morning,is_rush_hour_evening,CO(GT)_ma_3h,CO(GT)_std_3h,CO(GT)_ma_12h,CO(GT)_std_12h,CO(GT)_ma_24h,CO(GT)_std_24h,CO(GT)_lag_1h,CO(GT)_lag_3h,CO(GT)_lag_12h,CO(GT)_lag_24h,CO(GT)_diff_1h,CO(GT)_diff_24h,CO(GT)_pct_change_1h,CO(GT)_pct_change_24h,PT08.S1(CO)_ma_3h,PT08.S1(CO)_std_3h,PT08.S1(CO)_ma_12h,PT08.S1(CO)_std_12h,PT08.S1(CO)_ma_24h,PT08.S1(CO)_std_24h,PT08.S1(CO)_lag_1h,PT08.S1(CO)_lag_3h,PT08.S1(CO)_lag_12h,PT08.S1(CO)_lag_24h,PT08.S1(CO)_diff_1h,PT08.S1(CO)_diff_24h,PT08.S1(CO)_pct_change_1h,PT08.S1(CO)_pct_change_24h,NMHC(GT)_ma_3h,NMHC(GT)_std_3h,NMHC(GT)_ma_12h,NMHC(GT)_std_12h,NMHC(GT)_ma_24h,NMHC(GT)_std_24h,NMHC(GT)_lag_1h,NMHC(GT)_lag_3h,NMHC(GT)_lag_12h,NMHC(GT)_lag_24h,NMHC(GT)_diff_1h,NMHC(GT)_diff_24h,NMHC(GT)_pct_change_1h,NMHC(GT)_pct_change_24h,C6H6(GT)_ma_3h,C6H6(GT)_std_3h,C6H6(GT)_ma_12h,C6H6(GT)_std_12h,C6H6(GT)_ma_24h,C6H6(GT)_std_24h,C6H6(GT)_lag_1h,C6H6(GT)_lag_3h,C6H6(GT)_lag_12h,C6H6(GT)_lag_24h,C6H6(GT)_diff_1h,C6H6(GT)_diff_24h,C6H6(GT)_pct_change_1h,C6H6(GT)_pct_change_24h,PT08.S2(NMHC)_ma_3h,PT08.S2(NMHC)_std_3h,PT08.S2(NMHC)_ma_12h,PT08.S2(NMHC)_std_12h,PT08.S2(NMHC)_ma_24h,PT08.S2(NMHC)_std_24h,PT08.S2(NMHC)_lag_1h,PT08.S2(NMHC)_lag_3h,PT08.S2(NMHC)_lag_12h,PT08.S2(NMHC)_lag_24h,PT08.S2(NMHC)_diff_1h,PT08.S2(NMHC)_diff_24h,PT08.S2(NMHC)_pct_change_1h,PT08.S2(NMHC)_pct_change_24h,NOx(GT)_ma_3h,NOx(GT)_std_3h,NOx(GT)_ma_12h,NOx(GT)_std_12h,NOx(GT)_ma_24h,NOx(GT)_std_24h,NOx(GT)_lag_1h,NOx(GT)_lag_3h,NOx(GT)_lag_12h,NOx(GT)_lag_24h,NOx(GT)_diff_1h,NOx(GT)_diff_24h,NOx(GT)_pct_change_1h,NOx(GT)_pct_change_24h,PT08.S3(NOx)_ma_3h,PT08.S3(NOx)_std_3h,PT08.S3(NOx)_ma_12h,PT08.S3(NOx)_std_12h,PT08.S3(NOx)_ma_24h,PT08.S3(NOx)_std_24h,PT08.S3(NOx)_lag_1h,PT08.S3(NOx)_lag_3h,PT08.S3(NOx)_lag_12h,PT08.S3(NOx)_lag_24h,PT08.S3(NOx)_diff_1h,PT08.S3(NOx)_diff_24h,PT08.S3(NOx)_pct_change_1h,PT08.S3(NOx)_pct_change_24h,NO2(GT)_ma_3h,NO2(GT)_std_3h,NO2(GT)_ma_12h,NO2(GT)_std_12h,NO2(GT)_ma_24h,NO2(GT)_std_24h,NO2(GT)_lag_1h,NO2(GT)_lag_3h,NO2(GT)_lag_12h,NO2(GT)_lag_24h,NO2(GT)_diff_1h,NO2(GT)_diff_24h,NO2(GT)_pct_change_1h,NO2(GT)_pct_change_24h,PT08.S4(NO2)_ma_3h,PT08.S4(NO2)_std_3h,PT08.S4(NO2)_ma_12h,PT08.S4(NO2)_std_12h,PT08.S4(NO2)_ma_24h,PT08.S4(NO2)_std_24h,PT08.S4(NO2)_lag_1h,PT08.S4(NO2)_lag_3h,PT08.S4(NO2)_lag_12h,PT08.S4(NO2)_lag_24h,PT08.S4(NO2)_diff_1h,PT08.S4(NO2)_diff_24h,PT08.S4(NO2)_pct_change_1h,PT08.S4(NO2)_pct_change_24h,PT08.S5(O3)_ma_3h,PT08.S5(O3)_std_3h,PT08.S5(O3)_ma_12h,PT08.S5(O3)_std_12h,PT08.S5(O3)_ma_24h,PT08.S5(O3)_std_24h,PT08.S5(O3)_lag_1h,PT08.S5(O3)_lag_3h,PT08.S5(O3)_lag_12h,PT08.S5(O3)_lag_24h,PT08.S5(O3)_diff_1h,PT08.S5(O3)_diff_24h,PT08.S5(O3)_pct_change_1h,PT08.S5(O3)_pct_change_24h,T_ma_3h,T_std_3h,T_ma_12h,T_std_12h,T_ma_24h,T_std_24h,T_lag_1h,T_lag_3h,T_lag_12h,T_lag_24h,T_diff_1h,T_diff_24h,T_pct_change_1h,T_pct_change_24h,RH_ma_3h,RH_std_3h,RH_ma_12h,RH_std_12h,RH_ma_24h,RH_std_24h,RH_lag_1h,RH_lag_3h,RH_lag_12h,RH_lag_24h,RH_diff_1h,RH_diff_24h,RH_pct_change_1h,RH_pct_change_24h,AH_ma_3h,AH_std_3h,AH_ma_12h,AH_std_12h,AH_ma_24h,AH_std_24h,AH_lag_1h,AH_lag_3h,AH_lag_12h,AH_lag_24h,AH_diff_1h,AH_diff_24h,AH_pct_change_1h,AH_pct_change_24h
2005-02-10T18:00:00,2005-02-10T18:00:00,air_quality_sensor_001,urban_monitoring_station,1.0,2025-09-24T21:53:47.966573,4.2,1064.0,151.5,8.3,910.0,534.0,806.0,209.0,1463.0,964.0,17.8,49.5,0.9941,18.0,3.0,2.0,41.0,6,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,Winter,0,0,1,3.0333333333333337,1.0214368964030185,2.966666666666667,0.8488851869399056,2.5749999999999997,0.9340188993525912,2.6,2.2,1.7,3.1,1.6,1.1,0.6153846153846154,0.3548387096774195,1064.0,0.0,1064.0,0.0,1064.0,0.0,1064.0,1064.0,1064.0,1064.0,0.0,0.0,0.0,0.0,151.5,0.0,151.5,0.0,151.5,0.0,151.5,151.5,151.5,151.5,0.0,0.0,0.0,0.0,8.3,0.0,8.3,0.0,8.3,0.0,8.3,8.3,8.3,8.3,0.0,0.0,0.0,0.0,910.0,0.0,910.0,0.0,910.0,0.0,910.0,910.0,910.0,910.0,0.0,0.0,0.0,0.0,373.6666666666667,138.96162539828293,398.5,158.17338013021984,294.125,168.74970209313545,299.0,271.0,178.0,355.0,235.0,179.0,0.785953177257525,0.504225352112676,806.0,0.0,806.0,0.0,806.0,0.0,806.0,806.0,806.0,806.0,0.0,0.0,0.0,0.0,164.33333333333334,39.31072796748162,188.16666666666666,55.42863279329073,163.29166666666666,58.6970698969953,149.0,131.0,134.0,209.0,60.0,0.0,0.40268456375838935,0.0,1463.0,0.0,1463.0,0.0,1463.0,0.0,1463.0,1463.0,1463.0,1463.0,0.0,0.0,0.0,0.0,964.0,0.0,964.0,0.0,964.0,0.0,964.0,964.0,964.0,964.0,0.0,0.0,0.0,0.0,17.8,0.0,17.8,0.0,17.8,0.0,17.8,17.8,17.8,17.8,0.0,0.0,0.0,0.0,49.5,0.0,49.5,0.0,49.5,0.0,49.5,49.5,49.5,49.5,0.0,0.0,0.0,0.0,0.9941,0.0,0.9941,0.0,0.9941,0.0,0.9941,0.9941,0.9941,0.9941,0.0,0.0,0.0,0.0
2005-02-10T14:00:00,2005-02-10T14:00:00,air_quality_sensor_001,urban_monitoring_station,1.0,2025-09-24T21:53:47.966573,2.4,1064.0,151.5,8.3,910.0,226.0,806.0,128.0,1463.0,964.0,17.8,49.5,0.9941,14.0,3.0,2.0,41.0,6,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,Winter,0,0,0,2.4333333333333336,0.2516611478425904,2.5333333333333337,1.0156353437701324,2.5,0.8841601271459743,2.2,3.7,1.6,2.3,0.19999999999999973,0.10000000000000009,0.09090909090909083,0.04347826086956519,1064.0,0.0,1064.0,0.0,1064.0,0.0,1064.0,1064.0,1064.0,1064.0,0.0,0.0,0.0,0.0,151.5,0.0,151.5,0.0,151.5,0.0,151.5,151.5,151.5,151.5,0.0,0.0,0.0,0.0,8.3,0.0,8.3,0.0,8.3,0.0,8.3,8.3,8.3,8.3,0.0,0.0,0.0,0.0,910.0,0.0,910.0,0.0,910.0,0.0,910.0,910.0,910.0,910.0,0.0,0.0,0.0,0.0,298.0,104.61357464497138,322.75,205.08496022159187,279.25,162.89160172655806,250.0,646.0,108.0,241.0,-24.0,-15.0,-0.09599999999999997,-0.06224066390041494,806.0,0.0,806.0,0.0,806.0,0.0,806.0,806.0,806.0,806.0,0.0,0.0,0.0,0.0,153.33333333333334,29.0229794013871,169.83333333333334,69.79298393148622,165.5,58.17738990064934,147.0,232.0,95.0,152.0,-19.0,-24.0,-0.12925170068027214,-0.1578947368421053,1463.0,0.0,1463.0,0.0,1463.0,0.0,1463.0,1463.0,1463.0,1463.0,0.0,0.0,0.0,0.0,964.0,0.0,964.0,0.0,964.0,0.0,964.0,964.0,964.0,964.0,0.0,0.0,0.0,0.0,17.8,0.0,17.8,0.0,17.8,0.0,17.8,17.8,17.8,17.8,0.0,0.0,0.0,0.0,49.5,0.0,49.5,0.0,49.5,0.0,49.5,49.5,49.5,49.5,0.0,0.0,0.0,0.0,0.9941,0.0,0.9941,0.0,0.9941,0.0,0.9941,0.9941,0.9941,0.9941,0.0,0.0,0.0,0.0
2005-02-10T15:00:00,2005-02-10T15:00:00,air_quality_sensor_001,urban_monitoring_station,1.0,2025-09-24T21:53:47.966573,2.2,1064.0,151.5,8.3,910.0,271.0,806.0,131.0,1463.0,964.0,17.8,49.5,0.9941,15.0,3.0,2.0,41.0,6,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,Winter,0,0,0,2.266666666666667,0.11547005383845492,2.591666666666667,0.9699656351300591,2.5083333333333333,0.8801762010685921,2.4,2.7,1.5,2.0,-0.19999999999999973,0.20000000000000018,-0.08333333333333326,0.10000000000000009,1064.0,0.0,1064.0,0.0,1064.0,0.0,1064.0,1064.0,1064.0,1064.0,0.0,0.0,0.0,0.0,151.5,0.0,151.5,0.0,151.5,0.0,151.5,151.5,151.5,151.5,0.0,0.0,0.0,0.0,8.3,0.0,8.3,0.0,8.3,0.0,8.3,8.3,8.3,8.3,0.0,0.0,0.0,0.0,910.0,0.0,910.0,0.0,910.0,0.0,910.0,910.0,910.0,910.0,0.0,0.0,0.0,0.0,249.0,22.516660498367813,336.3333333333333,194.70365983082118,281.875,162.19963879764686,226.0,418.0,108.0,208.0,45.0,63.0,0.1991150442477876,0.3028846153846154,806.0,0.0,806.0,0.0,806.0,0.0,806.0,806.0,806.0,806.0,0.0,0.0,0.0,0.0,135.33333333333334,10.214368964029918,172.83333333333334,67.00180911171368,164.95833333333334,58.446169336791684,128.0,185.0,95.0,144.0,3.0,-13.0,0.0234375,-0.09027777777777779,1463.0,0.0,1463.0,0.0,1463.0,0.0,1463.0,1463.0,1463.0,1463.0,0.0,0.0,0.0,0.0,964.0,0.0,964.0,0.0,964.0,0.0,964.0,964.0,964.0,964.0,0.0,0.0,0.0,0.0,17.8,0.0,17.8,0.0,17.8,0.0,17.8,17.8,17.8,17.8,0.0,0.0,0.0,0.0,49.5,0.0,49.5,0.0,49.5,0.0,49.5,49.5,49.5,49.5,0.0,0.0,0.0,0.0,0.9941,0.0,0.9941,0.0,0.9941,0.0,0.9941,0.9941,0.9941,0.9941,0.0,0.0,0.0,0.0
2005-02-10T11:00:00,2005-02-10T11:00:00,air_quality_sensor_001,urban_monitoring_station,1.0,2025-09-24T21:53:47.966573,3.7,1064.0,151.5,8.3,910.0,646.0,806.0,232.0,1463.0,964.0,17.8,49.5,0.9941,11.0,3.0,2.0,41.0,6,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,Winter,0,0,0,3.9333333333333336,0.3214550253665344,2.3750000000000004,1.069515608284215,2.458333333333333,0.8929271194110494,4.3,3.3,1.9,2.1,-0.5999999999999996,1.6,-0.13953488372093015,0.7619047619047619,1064.0,0.0,1064.0,0.0,1064.0,0.0,1064.0,1064.0,1064.0,1064.0,0.0,0.0,0.0,0.0,151.5,0.0,151.5,0.0,151.5,0.0,151.5,151.5,151.5,151.5,0.0,0.0,0.0,0.0,8.3,0.0,8.3,0.0,8.3,0.0,8.3,8.3,8.3,8.3,0.0,0.0,0.0,0.0,910.0,0.0,910.0,0.0,910.0,0.0,910.0,910.0,910.0,910.0,0.0,0.0,0.0,0.0,596.6666666666666,53.37914698956728,280.9166666666667,219.5269535463343,272.0833333333333,160.35366257572468,604.0,492.0,156.0,266.0,42.0,380.0,0.06953642384105962,1.4285714285714284,806.0,0.0,806.0,0.0,806.0,0.0,806.0,806.0,806.0,806.0,0.0,0.0,0.0,0.0,257.0,29.137604568667268,158.75,74.59115838416086,165.95833333333334,57.525403965980786,250.0,247.0,123.0,165.0,-18.0,67.0,-0.07199999999999995,0.406060606060606,1463.0,0.0,1463.0,0.0,1463.0,0.0,1463.0,1463.0,1463.0,1463.0,0.0,0.0,0.0,0.0,964.0,0.0,964.0,0.0,964.0,0.0,964.0,964.0,964.0,964.0,0.0,0.0,0.0,0.0,17.8,0.0,17.8,0.0,17.8,0.0,17.8,17.8,17.8,17.8,0.0,0.0,0.0,0.0,49.5,0.0,49.5,0.0,49.5,0.0,49.5,49.5,49.5,49.5,0.0,0.0,0.0,0.0,0.9941,0.0,0.9941,0.0,0.9941,0.0,0.9941,0.9941,0.9941,0.9941,0.0,0.0,0.0,0.0
2005-02-10T16:00:00,2005-02-10T16:00:00,air_quality_sensor_001,urban_monitoring_station,1.0,2025-09-24T21:53:47.966573,2.3,1064.0,151.5,8.3,910.0,288.0,806.0,135.0,1463.0,964.0,17.8,49.5,0.9941,16.0,3.0,2.0,41.0,6,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,Winter,0,0,0,2.3000000000000003,0.10000000000060626,2.6666666666666674,0.9018499505645389,2.5166666666666666,0.8770834409101809,2.2,2.2,1.4,2.1,0.09999999999999964,0.19999999999999973,0.04545454545454519,0.09523809523809512,1064.0,0.0,1064.0,0.0,1064.0,0.0,1064.0,1064.0,1064.0,1064.0,0.0,0.0,0.0,0.0,151.5,0.0,151.5,0.0,151.5,0.0,151.5,151.5,151.5,151.5,0.0,0.0,0.0,0.0,8.3,0.0,8.3,0.0,8.3,0.0,8.3,8.3,8.3,8.3,0.0,0.0,0.0,0.0,910.0,0.0,910.0,0.0,910.0,0.0,910.0,910.0,910.0,910.0,0.0,0.0,0.0,0.0,261.6666666666667,32.03643758803642,352.4166666666667,180.40230714778392,284.9166666666667,161.57429753270964,271.0,250.0,95.0,215.0,17.0,73.0,0.0627306273062731,0.3395348837209302,806.0,0.0,806.0,0.0,806.0,0.0,806.0,806.0,806.0,806.0,0.0,0.0,0.0,0.0,131.33333333333334,3.5118845842847817,176.83333333333334,62.70686976043071,164.41666666666666,58.669980966987424,131.0,147.0,87.0,148.0,4.0,-13.0,0.03053435114503822,-0.08783783783783783,1463.0,0.0,1463.0,0.0,1463.0,0.0,1463.0,1463.0,1463.0,1463.0,0.0,0.0,0.0,0.0,964.0,0.0,964.0,0.0,964.0,0.0,964.0,964.0,964.0,964.0,0.0,0.0,0.0,0.0,17.8,0.0,17.8,0.0,17.8,0.0,17.8,17.8,17.8,17.8,0.0,0.0,0.0,0.0,49.5,0.0,49.5,0.0,49.5,0.0,49.5,49.5,49.5,49.5,0.0,0.0,0.0,0.0,0.9941,0.0,0.9941,0.0,0.9941,0.0,0.9941,0.9941,0.9941,0.9941,0.0,0.0,0.0,0.0
2005-02-10T17:00:00,2005-02-10T17:00:00,air_quality_sensor_001,urban_monitoring_station,1.0,2025-09-24T21:53:47.966573,2.6,1064.0,151.5,8.3,910.0,299.0,806.0,149.0,1463.0,964.0,17.8,49.5,0.9941,17.0,3.0,2.0,41.0,6,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,Winter,0,0,1,2.3666666666666667,0.20816659994689926,2.7583333333333333,0.8251262529657291,2.529166666666667,0.8759983952073193,2.3,2.4,1.5,2.3,0.30000000000000027,0.30000000000000027,0.1304347826086958,0.1304347826086958,1064.0,0.0,1064.0,0.0,1064.0,0.0,1064.0,1064.0,1064.0,1064.0,0.0,0.0,0.0,0.0,151.5,0.0,151.5,0.0,151.5,0.0,151.5,151.5,151.5,151.5,0.0,0.0,0.0,0.0,8.3,0.0,8.3,0.0,8.3,0.0,8.3,8.3,8.3,8.3,0.0,0.0,0.0,0.0,910.0,0.0,910.0,0.0,910.0,0.0,910.0,910.0,910.0,910.0,0.0,0.0,0.0,0.0,286.0,14.106735979628269,368.8333333333333,163.73639198604252,286.6666666666667,161.48621334791852,288.0,226.0,102.0,257.0,11.0,42.0,0.03819444444444442,0.16342412451361876,806.0,0.0,806.0,0.0,806.0,0.0,806.0,806.0,806.0,806.0,0.0,0.0,0.0,0.0,138.33333333333334,9.451631252505463,181.91666666666666,57.070065921133654,163.29166666666666,58.6970698969953,135.0,128.0,88.0,176.0,14.0,-27.0,0.10370370370370363,-0.15340909090909094,1463.0,0.0,1463.0,0.0,1463.0,0.0,1463.0,1463.0,1463.0,1463.0,0.0,0.0,0.0,0.0,964.0,0.0,964.0,0.0,964.0,0.0,964.0,964.0,964.0,964.0,0.0,0.0,0.0,0.0,17.8,0.0,17.8,0.0,17.8,0.0,17.8,17.8,17.8,17.8,0.0,0.0,0.0,0.0,49.5,0.0,49.5,0.0,49.5,0.0,49.5,49.5,49.5,49.5,0.0,0.0,0.0,0.0,0.9941,0.0,0.9941,0.0,0.9941,0.0,0.9941,0.9941,0.9941,0.9941,0.0,0.0,0.0,0.0
2005-02-10T19:00:00,2005-02-10T19:00:00,air_quality_sensor_001,urban_monitoring_station,1.0,2025-09-24T21:53:47.966573,6.2,1064.0,151.5,8.3,910.0,687.0,806.0,243.0,1463.0,964.0,17.8,49.5,0.9941,19.0,3.0,2.0,41.0,6,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,Winter,0,0,1,4.333333333333333,1.8036999011291728,3.3250000000000006,1.194780314534831,2.670833333333333,1.1652501752904774,4.2,2.3,1.9,3.9,2.0,2.3000000000000003,0.4761904761904763,0.5897435897435899,1064.0,0.0,1064.0,0.0,1064.0,0.0,1064.0,1064.0,1064.0,1064.0,0.0,0.0,0.0,0.0,151.5,0.0,151.5,0.0,151.5,0.0,151.5,151.5,151.5,151.5,0.0,0.0,0.0,0.0,8.3,0.0,8.3,0.0,8.3,0.0,8.3,8.3,8.3,8.3,0.0,0.0,0.0,0.0,910.0,0.0,910.0,0.0,910.0,0.0,910.0,910.0,910.0,910.0,0.0,0.0,0.0,0.0,506.6666666666667,195.43882248246734,437.9166666666667,166.72102901299604,305.4583333333333,185.52111778697278,534.0,288.0,214.0,415.0,153.0,272.0,0.2865168539325842,0.655421686746988,806.0,0.0,806.0,0.0,806.0,0.0,806.0,806.0,806.0,806.0,0.0,0.0,0.0,0.0,200.33333333333334,47.595517996270885,195.41666666666666,56.5178303857756,163.41666666666666,58.870466993714004,209.0,135.0,156.0,240.0,34.0,3.0,0.16267942583732053,0.012499999999999956,1463.0,0.0,1463.0,0.0,1463.0,0.0,1463.0,1463.0,1463.0,1463.0,0.0,0.0,0.0,0.0,964.0,0.0,964.0,0.0,964.0,0.0,964.0,964.0,964.0,964.0,0.0,0.0,0.0,0.0,17.8,0.0,17.8,0.0,17.8,0.0,17.8,17.8,17.8,17.8,0.0,0.0,0.0,0.0,49.5,0.0,49.5,0.0,49.5,0.0,49.5,49.5,49.5,49.5,0.0,0.0,0.0,0.0,0.9941,0.0,0.9941,0.0,0.9941,0.0,0.9941,0.9941,0.9941,0.9941,0.0,0.0,0.0,0.0
2005-02-10T22:00:00,2005-02-10T22:00:00,air_quality_sensor_001,urban_monitoring_station,1.0,2025-09-24T21:53:48.867239,2.7,1064.0,151.5,8.3,910.0,345.0,806.0,194.0,1463.0,964.0,17.8,49.5,0.9941,22.0,3.0,2.0,41.0,6,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,Winter,0,0,0,5.2,2.9137604568666977,3.6750000000000007,1.920759792847128,2.9499999999999997,1.6678546490731037,4.5,6.2,4.3,2.2,-1.7999999999999998,0.5,-0.3999999999999999,0.2272727272727273,1064.0,0.0,1064.0,0.0,1064.0,0.0,1064.0,1064.0,1064.0,1064.0,0.0,0.0,0.0,0.0,151.5,0.0,151.5,0.0,151.5,0.0,151.5,151.5,151.5,151.5,0.0,0.0,0.0,0.0,8.3,0.0,8.3,0.0,8.3,0.0,8.3,8.3,8.3,8.3,0.0,0.0,0.0,0.0,910.0,0.0,910.0,0.0,910.0,0.0,910.0,910.0,910.0,910.0,0.0,0.0,0.0,0.0,659.3333333333334,344.7264616088155,466.4166666666667,241.1764568388341,353.25,241.33780222461886,605.0,687.0,604.0,228.0,-260.0,117.0,-0.4297520661157025,0.513157894736842,806.0,0.0,806.0,0.0,806.0,0.0,806.0,806.0,806.0,806.0,0.0,0.0,0.0,0.0,231.66666666666666,41.40450861118086,187.83333333333334,49.92691628467655,168.75,63.34326771818295,225.0,243.0,250.0,157.0,-31.0,37.0,-0.13777777777777778,0.23566878980891715,1463.0,0.0,1463.0,0.0,1463.0,0.0,1463.0,1463.0,1463.0,1463.0,0.0,0.0,0.0,0.0,964.0,0.0,964.0,0.0,964.0,0.0,964.0,964.0,964.0,964.0,0.0,0.0,0.0,0.0,17.8,0.0,17.8,0.0,17.8,0.0,17.8,17.8,17.8,17.8,0.0,0.0,0.0,0.0,49.5,0.0,49.5,0.0,49.5,0.0,49.5,49.5,49.5,49.5,0.0,0.0,0.0,0.0,0.9941,0.0,0.9941,0.0,0.9941,0.0,0.9941,0.9941,0.9941,0.9941,0.0,0.0,0.0,0.0
2005-02-10T23:00:00,2005-02-10T23:00:00,air_quality_sensor_001,urban_monitoring_station,1.0,2025-09-24T21:53:48.868433,2.4,1064.0,151.5,8.3,910.0,255.0,806.0,164.0,1463.0,964.0,17.8,49.5,0.9941,23.0,3.0,2.0,41.0,6,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,Winter,0,0,0,3.1999999999999997,1.1357816691600968,3.566666666666667,1.955567033942427,2.970833333333333,1.6572578626117265,2.7,8.4,3.7,1.9,-0.30000000000000027,0.5,-0.11111111111111116,0.26315789473684204,1064.0,0.0,1064.0,0.0,1064.0,0.0,1064.0,1064.0,1064.0,1064.0,0.0,0.0,0.0,0.0,151.5,0.0,151.5,0.0,151.5,0.0,151.5,151.5,151.5,151.5,0.0,0.0,0.0,0.0,8.3,0.0,8.3,0.0,8.3,0.0,8.3,8.3,8.3,8.3,0.0,0.0,0.0,0.0,910.0,0.0,910.0,0.0,910.0,0.0,910.0,910.0,910.0,910.0,0.0,0.0,0.0,0.0,401.6666666666667,181.75074506953976,433.8333333333333,241.12118165442243,357.375,238.65088427495502,345.0,1028.0,646.0,156.0,-90.0,99.0,-0.26086956521739135,0.6346153846153846,806.0,0.0,806.0,0.0,806.0,0.0,806.0,806.0,806.0,806.0,0.0,0.0,0.0,0.0,194.33333333333334,30.501366089625318,182.16666666666666,48.29047211375981,170.45833333333334,62.60433320651129,194.0,276.0,232.0,123.0,-30.0,41.0,-0.15463917525773196,0.33333333333333326,1463.0,0.0,1463.0,0.0,1463.0,0.0,1463.0,1463.0,1463.0,1463.0,0.0,0.0,0.0,0.0,964.0,0.0,964.0,0.0,964.0,0.0,964.0,964.0,964.0,964.0,0.0,0.0,0.0,0.0,17.8,0.0,17.8,0.0,17.8,0.0,17.8,17.8,17.8,17.8,0.0,0.0,0.0,0.0,49.5,0.0,49.5,0.0,49.5,0.0,49.5,49.5,49.5,49.5,0.0,0.0,0.0,0.0,0.9941,0.0,0.9941,0.0,0.9941,0.0,0.9941,0.9941,0.9941,0.9941,0.0,0.0,0.0,0.0
2005-02-10T21:00:00,2005-02-10T21:00:00,air_quality_sensor_001,urban_monitoring_station,1.0,2025-09-24T21:53:48.872400,4.5,1064.0,151.5,8.3,910.0,605.0,806.0,225.0,1463.0,964.0,17.8,49.5,0.9941,21.0,3.0,2.0,41.0,6,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,Winter,0,0,0,6.366666666666667,1.9553345834749918,3.8083333333333336,1.9023709290028368,2.9291666666666667,1.6742238089093182,8.4,4.2,3.8,2.9,-3.9000000000000004,1.6,-0.4642857142857143,0.5517241379310345,1064.0,0.0,1064.0,0.0,1064.0,0.0,1064.0,1064.0,1064.0,1064.0,0.0,0.0,0.0,0.0,151.5,0.0,151.5,0.0,151.5,0.0,151.5,151.5,151.5,151.5,0.0,0.0,0.0,0.0,8.3,0.0,8.3,0.0,8.3,0.0,8.3,8.3,8.3,8.3,0.0,0.0,0.0,0.0,910.0,0.0,910.0,0.0,910.0,0.0,910.0,910.0,910.0,910.0,0.0,0.0,0.0,0.0,773.3333333333334,224.32639910036158,488.0,240.9119039286894,348.375,242.68960539178005,1028.0,534.0,540.0,254.0,-423.0,351.0,-0.41147859922178986,1.3818897637795278,806.0,0.0,806.0,0.0,806.0,0.0,806.0,806.0,806.0,806.0,0.0,0.0,0.0,0.0,248.0,25.865034312755476,192.5,53.07370518268273,167.20833333333334,63.15197622758356,276.0,209.0,289.0,187.0,-51.0,38.0,-0.18478260869565222,0.20320855614973254,1463.0,0.0,1463.0,0.0,1463.0,0.0,1463.0,1463.0,1463.0,1463.0,0.0,0.0,0.0,0.0,964.0,0.0,964.0,0.0,964.0,0.0,964.0,964.0,964.0,964.0,0.0,0.0,0.0,0.0,17.8,0.0,17.8,0.0,17.8,0.0,17.8,17.8,17.8,17.8,0.0,0.0,0.0,0.0,49.5,0.0,49.5,0.0,49.5,0.0,49.5,49.5,49.5,49.5,0.0,0.0,0.0,0.0,0.9941,0.0,0.9941,0.0,0.9941,0.0,0.9941,0.9941,0.9941,0.9941,0.0,0.0,0.0,0.0
